name,code
Chichonyi-Chidzihana-Chikauma,coh
Chonyi-Dzihana-Kauma,coh
Cochimi,coj
Santa Teresa Cora,cok
Columbia-Wenatchi,col
Comanche,com
Cofán,con
Comox,coo
Coptic,cop
Coquille,coq
Cornish,cor
Corsican,cos
Caquinte,cot
Wamey,cou
Cao Miao,cov
Cowlitz,cow
Nanti,cox
Chochotec,coz
Palantla Chinantec,cpa
Ucayali-Yurúa Ashéninka,cpb
Ajyíninka Apurucayali,cpc
Cappadocian Greek,cpg
Chinese Pidgin English,cpi
Cherepon,cpn
Kpeego,cpo
Capiznon,cps
Pichis Ashéninka,cpu
Pu-Xian Chinese,cpx
South Ucayali Ashéninka,cpy
Chuanqiandian Cluster Miao,cqd
Chara,cra
Island Carib,crb
Lonwolwol,crc
Coeur d'Alene,crd
Cree,cre
Caramanta,crf
Michif,crg
Crimean Tatar,crh
Crimean Turkish,crh
Sãotomense,cri
Southern East Cree,crj
Plains Cree,crk
Northern East Cree,crl
Moose Cree,crm
El Nayar Cora,crn
Crow,cro
Iyo'wujwa Chorote,crq
Carolina Algonquian,crr
Seselwa Creole French,crs
Iyojwa'ja Chorote,crt
Chaura,crv
Chrau,crw
Carrier,crx
Cori,cry
Cruzeño,crz
Chiltepec Chinantec,csa
Kashubian,csb
Catalan Sign Language,csc
Lengua de señas catalana,csc
Llengua de Signes Catalana,csc
Chiangmai Sign Language,csd
Czech Sign Language,cse
Cuba Sign Language,csf
Chilean Sign Language,csg
Asho Chin,csh
Coast Miwok,csi
Songlai Chin,csj
Jola-Kasa,csk
Chinese Sign Language,csl
Central Sierra Miwok,csm
Colombian Sign Language,csn
Sochiapam Chinantec,cso
Sochiapan Chinantec,cso
Southern Ping Chinese,csp
Southern Pinghua,csp
Croatia Sign Language,csq
Costa Rican Sign Language,csr
Southern Ohlone,css
Northern Ohlone,cst
Sumtu Chin,csv
Swampy Cree,csw
Cambodian Sign Language,csx
Siyin Chin,csy
Coos,csz
Tataltepec Chatino,cta
Chetco,ctc
Tedim Chin,ctd
Tepinapa Chinantec,cte
Chittagonian,ctg
Thaiphum Chin,cth
Tlacoatzintepec Chinantec,ctl
Chitimacha,ctm
Chhintange,ctn
Emberá-Catío,cto
Western Highland Chatino,ctp
Northern Catanduanes Bikol,cts
Wayanad Chetti,ctt
Chol,ctu
Moundadan Chetty,cty
Zacatepec Chatino,ctz
Cua,cua
Cubeo,cub
Usila Chinantec,cuc
Chungmboko,cug
Cung,cug
Chuka,cuh
Gichuka,cuh
Cuiba,cui
Mashco Piro,cuj
San Blas Kuna,cuk
Culina,cul
Kulina,cul
Cumanagoto,cuo
Cupeño,cup
Cun,cuq
Chhulung,cur
Teutila Cuicatec,cut
Tai Ya,cuu
Cuvok,cuv
Chukwa,cuw
Tepeuxila Cuicatec,cux
Cuitlatec,cuy
Chug,cvg
Valle Nacional Chinantec,cvn
Kabwa,cwa
Maindo,cwb
Woods Cree,cwd
Kwere,cwe
Cheq Wong,cwg
Chewong,cwg
Kuwaataay,cwt
Nopala Chatino,cya
Cayubaba,cyb
Welsh,cym
Cuyonon,cyo
Huizhou Chinese,czh
Knaanic,czk
Zenzontepec Chatino,czn
Min Zhong Chinese,czo
Zotung Chin,czt
Dangaléat,daa
Dambi,dac
Marik,dad
Duupa,dae
Dagbani,dag
Gwahatike,dah
Day,dai
Dar Fur Daju,daj
Dakota,dak
Dahalo,dal
Damakawa,dam
Danish,dan
Daai Chin,dao
Dandami Maria,daq
Dargwa,dar
Daho-Doo,das
Dar Sila Daju,dau
Dawida,dav
Taita,dav
Davawenyo,daw
Dayi,dax
Dao,daz
Bangime,dba
Deno,dbb
Dadiya,dbd
Dabe,dbe
Edopi,dbf
Dogul Dom Dogon,dbg
Doka,dbi
Ida'an,dbj
Dyirbal,dbl
Duguri,dbm
Duriankere,dbn
Dulbu,dbo
Duwai,dbp
Daba,dbq
Dabarre,dbr
Ben Tey Dogon,dbt
Bondum Dom Dogon,dbu
Dungu,dbv
Bankan Tey Dogon,dbw
Dibiyaso,dby
Deccan,dcc
Negerhollands,dcr
Dadi Dadi,dda
Dongotono,ddd
Doondo,dde
Fataluku,ddg
West Goodenough,ddi
Jaru,ddj
Dendi (Benin),ddn
Dido,ddo
Dhudhuroa,ddr
Donno So Dogon,dds
Dawera-Daweloor,ddw
Dagik,dec
Dedua,ded
Dewoin,dee
Dezfuli,def
Degema,deg
Dehwari,deh
Demisa,dei
Dek,dek
Delaware,del
Dem,dem
Slave (Athapascan),den
Pidgin Delaware,dep
Dendi (Central African Republic),deq
Deori,der
Desano,des
German,deu
Domung,dev
Dengese,dez
Southern Dagaare,dga
Bunoge Dogon,dgb
Casiguran Dumagat Agta,dgc
Dagaari Dioula,dgd
Degenan,dge
Doga,dgg
Dghwede,dgh
Northern Dagara,dgi
Dagba,dgk
Andaandi,dgl
Dongolawi,dgl
Dagoman,dgn
Dogri (individual language),dgo
Dogrib,dgr
Tłı̨chǫ,dgr
Dogoso,dgs
Ndra'ngith,dgt
Daungwurrung,dgw
Doghoro,dgx
Daga,dgz
Dhundari,dhd
Dhangu,dhg
Dhangu-Djangu,dhg
Djangu,dhg
Dhimal,dhi
Dhalandji,dhl
Zemba,dhm
Dhanki,dhn
Dhodia,dho
Dhargari,dhr
Dhaiso,dhs
Dhurga,dhu
Dehu,dhv
Drehu,dhv
Dhanwar (Nepal),dhw
Dhungaloo,dhx
Dia,dia
South Central Dinka,dib
Lakota Dida,dic
Didinga,did
Dieri,dif
Diyari,dif
Chidigo,dig
Digo,dig
Kumiai,dih
Dimbong,dii
Dai,dij
Southwestern Dinka,dik
Dilling,dil
Dime,dim
Dinka,din
Dibo,dio
Northeastern Dinka,dip
Dimli (individual language),diq
Dirim,dir
Dimasa,dis
Diriku,diu
Dhivehi,div
Divehi,div
Maldivian,div
Northwestern Dinka,diw
Dixon Reef,dix
Diuwe,diy
Ding,diz
Djadjawurrung,dja
Djinba,djb
Dar Daju Daju,djc
Djamindjung,djd
Ngaliwurru,djd
Zarma,dje
Djangun,djf
Djinang,dji
Djeebbana,djj
Businenge Tongo,djk
Eastern Maroon Creole,djk
Nenge,djk
Jamsay Dogon,djm
Djauan,djn
Jawoyn,djn
Jangkang,djo
Djambarrpuyngu,djr
Kapriman,dju
Djawi,djw
Dakpakha,dka
Kadung,dkg
Dakka,dkk
Kuijau,dkr
Southeastern Dinka,dks
Mazagway,dkx
Dolgan,dlg
Dahalik,dlk
Dalmatian,dlm
Darlong,dln
Duma,dma
Mombo Dogon,dmb
Gavak,dmc
Madhi Madhi,dmd
Dugwor,dme
Medefaidrin,dmf
Upper Kinabatangan,dmg
Domaaki,dmk
Dameli,dml
Dama,dmm
Kemedzung,dmo
East Damar,dmr
Dampelas,dms
Dubu,dmu
Tebi,dmu
Dumpas,dmv
Mudburra,dmw
Dema,dmx
Demta,dmy
Sowari,dmy
Upper Grand Valley Dani,dna
Daonda,dnd
Ndendeule,dne
Dungan,dng
Lower Grand Valley Dani,dni
Dan,dnj
Dengka,dnk
Dzùùngoo,dnn
Ndrulo,dno
Northern Lendu,dno
Danaru,dnr
Mid Grand Valley Dani,dnt
Danau,dnu
Danu,dnv
Western Dani,dnw
Dení,dny
Dom,doa
Dobu,dob
Northern Dong,doc
Doe,doe
Domu,dof
Dong,doh
Dogri (macrolanguage),doi
Dondo,dok
Doso,dol
Toura (Papua New Guinea),don
Dongo,doo
Lukpa,dop
Dominican Sign Language,doq
Dori'o,dor
Dogosé,dos
Dass,dot
Dombe,dov
Doyayo,dow
Bussa,dox
Dompo,doy
Dorze,doz
Papar,dpp
Dair,drb
Minderico,drc
Darmiya,drd
Dolpo,dre
Rungus,drg
C'Lela,dri
Paakantyi,drl
West Damar,drn
Daro-Matu Melanau,dro
Dura,drq
Gedeo,drs
Drents,drt
Rukai,dru
Darai,dry
Lower Sorbian,dsb
Dutch Sign Language,dse
Daasanach,dsh
Disa,dsi
Danish Sign Language,dsl
Dusner,dsn
Desiya,dso
Tadaksahak,dsq
Daur,dta
Labuk-Kinabatangan Kadazan,dtb
Ditidaht,dtd
Adithinngithigh,dth
Ana Tinga Dogon,dti
Tene Kan Dogon,dtk
Tomo Kan Dogon,dtm
Daatsʼíin,dtn
Tommo So Dogon,dto
Central Dusun,dtp
Kadazan Dusun,dtp
Lotud,dtr
Toro So Dogon,dts
Toro Tegu Dogon,dtt
Tebul Ure Dogon,dtu
Dotyali,dty
Duala,dua
Dubli,dub
Duna,duc
Umiray Dumaget Agta,due
Drubea,duf
Dumbea,duf
Chiduruma,dug
Duruma,dug
Dungra Bhil,duh
Dumun,dui
Uyajitaya,duk
Alabat Island Agta,dul
Middle Dutch (ca. 1050-1350),dum
Dusun Deyah,dun
Dupaninan Agta,duo
Duano,dup
Dusun Malang,duq
Dii,dur
Dumi,dus
Drung,duu
Duvle,duv
Dusun Witu,duw
Duungooma,dux
Dicamay Agta,duy
Duli-Gey,duz
Duau,dva
Diri,dwa
Dawik Kui,dwk
Dawro,dwr
Dutton World Speedwords,dws
Dhuwal,dwu
Dawawa,dww
Dhuwaya,dwy
Dewas Rai,dwz
Dyan,dya
Dyaberdyaber,dyb
Dyugun,dyd
Villa Viciosa Agta,dyg
Djimini Senoufo,dyi
Yanda Dom Dogon,dym
Dhanggatti,dyn
Dyangadi,dyn
Jola-Fonyi,dyo
Dyula,dyu
Djabugay,dyy
Dyaabugay,dyy
Tunzu,dza
Djiwarli,dze
Dazaga,dzg
Dzalakha,dzl
Dzando,dzn
Dzongkha,dzo
Karenggapa,eaa
Beginci,ebc
Ebughu,ebg
Eastern Bontok,ebk
Teke-Ebo,ebo
Ebrié,ebr
Embu,ebu
Kiembu,ebu
Eteocretan,ecr
Ecuadorian Sign Language,ecs
Eteocypriot,ecy
E,eee
Efai,efa
Efe,efe
Efik,efi
Ega,ega
Emilian,egl
Eggon,ego
Egyptian (Ancient),egy
Miyakubo Sign Language,ehs
Ehueun,ehu
Eipomek,eip
Eitiep,eit
Askopan,eiv
Ejamat,eja
Ekajuk,eka
Ekit,eke
Ekari,ekg
Eki,eki
Standard Estonian,ekk
Kol,ekl
Kol (Bangladesh),ekl
Elip,ekm
Koti,eko
Ekpeye,ekp
Yace,ekr
Eastern Kayah,eky
Elepi,ele
El Hugeirat,elh
Nding,eli
Elkei,elk
Greek,ell
Modern Greek (1453-),ell
Eleme,elm
El Molo,elo
Elu,elu
Elamite,elx
Emai-Iuleha-Ora,ema
Embaloh,emb
Emerillon,eme
Eastern Meohang,emg
Mussau-Emira,emi
Eastern Maninkakan,emk
Mamulique,emm
Eman,emn
Northern Emberá,emp
Eastern Minyag,emq
Pacific Gulf Yupik,ems
Eastern Muria,emu
Emplawas,emw
Erromintxela,emx
Epigraphic Mayan,emy
Mbessa,emz
Apali,ena
Markweeta,enb
En,enc
Ende,end
Forest Enets,enf
English,eng
Tundra Enets,enh
Enlhet,enl
Middle English (1100-1500),enm
Engenni,enn
Enggano,eno
Enga,enq
Emem,enr
Emumu,enr
Enu,enu
Enwan (Edu State),env
Enwan (Akwa Ibom State),enw
Enxet,enx
Beti (Côte d'Ivoire),eot
Epie,epi
Esperanto,epo
Eravallan,era
Sie,erg
Eruwa,erh
Ogea,eri
South Efate,erk
Horpa,ero
Erre,err
Ersu,ers
Eritai,ert
Erokwanas,erw
Ese Ejja,ese
Aheri Gondi,esg
Eshtehardi,esh
North Alaskan Inupiatun,esi
Northwest Alaska Inupiatun,esk
Egypt Sign Language,esl
Esuma,esm
Salvadoran Sign Language,esn
Estonian Sign Language,eso
Esselen,esq
Central Siberian Yupik,ess
Estonian,est
Central Yupik,esu
Eskayan,esy
Etebi,etb
Etchemin,etc
Ethiopian Sign Language,eth
Eton (Vanuatu),etn
Eton (Cameroon),eto
Edolo,etr
Yekhee,ets
Etruscan,ett
Ejagham,etu
Eten,etx
Semimi,etz
Basque,eus
Even,eve
Uvbie,evh
Evenki,evn
Ewe,ewe
Ewondo,ewo
Extremaduran,ext
Eyak,eya
Keiyo,eyo
Ezaa,eza
Uzekwe,eze
Fasu,faa
Fa d'Ambu,fab
Wagi,fad
Fagani,faf
Finongan,fag
Baissa Fali,fah
Faiwol,fai
Faita,faj
Fang (Cameroon),fak
South Fali,fal
Fam,fam
Fang (Equatorial Guinea),fan
Faroese,fao
Paloor,fap
Fataleka,far
Persian,fas
Fanti,fat
Fayu,fau
Fala,fax
Southwestern Fars,fay
Northwestern Fars,faz
West Albay Bikol,fbl
Quebec Sign Language,fcs
Feroge,fer
Foia Foia,ffi
Maasina Fulfulde,ffm
Fongoro,fgr
Nobiin,fia
Fyer,fie
Faifi,fif
Fijian,fij
Filipino,fil
Pilipino,fil
Finnish,fin
Fipa,fip
Firan,fir
Tornedalen Finnish,fit
Fiwaga,fiw
Kirya-Konzəl,fkk
Kven Finnish,fkv
Kalispel-Pend d'Oreille,fla
Foau,flh
Fali,fli
North Fali,fll
Flinders Island,fln
Fuliiru,flr
Flaaitaal,fly
Tsotsitaal,fly
Fe'fe',fmp
Far Western Muria,fmu
Fanbak,fnb
Fanagalo,fng
Fania,fni
Foodo,fod
Foi,foi
Foma,fom
Fon,fon
Fore,for
Siraya,fos
Fernando Po Creole English,fpe
Fas,fqs
French,fra
Cajun French,frc
Fordata,frd
Frankish,frk
Middle French (ca. 1400-1600),frm
Old French (842-ca. 1400),fro
Arpitan,frp
Francoprovençal,frp
Forak,frq
Northern Frisian,frr
Eastern Frisian,frs
Fortsenal,frt
Western Frisian,fry
Finnish Sign Language,fse
French Sign Language,fsl
finlandssvenskt teckenspråk,fss
Finland-Swedish Sign Language,fss
suomenruotsalainen viittomakieli,fss
Adamawa Fulfulde,fub
Pulaar,fuc
East Futuna,fud
Borgu Fulfulde,fue
Pular,fuf
Western Niger Fulfulde,fuh
Bagirmi Fulfulde,fui
Ko,fuj
Fulah,ful
Fum,fum
Fulniô,fun
Central-Eastern Niger Fulfulde,fuq
Friulian,fur
Futuna-Aniwa,fut
Furu,fuu
Nigerian Fulfulde,fuv
Fuyug,fuy
Fur,fvr
Fwâi,fwa
Fwe,fwe
Ga,gaa
Gabri,gab
Mixed Great Andamanese,gac
Gaddang,gad
Guarequena,gae
Gende,gaf
Gagauz,gag
Alekano,gah
Borei,gai
Gadsup,gaj
Gamkonora,gak
Galolen,gal
Kandawo,gam
Gan Chinese,gan
Gants,gao
Gal,gap
Gata',gaq
Galeya,gar
Adiwasi Garasia,gas
Kenati,gat
Mudhili Gadaba,gau
Nobonob,gaw
Borana-Arsi-Guji Oromo,gax
Gayo,gay
West Central Oromo,gaz
Gbaya (Central African Republic),gba
Kaytetye,gbb
Karajarri,gbd
Niksek,gbe
Gaikundi,gbf
Gbanziri,gbg
Defi Gbe,gbh
Galela,gbi
Bodo Gadaba,gbj
Gaddi,gbk
Gamit,gbl
Garhwali,gbm
Mo'da,gbn
Northern Grebo,gbo
Gbaya-Bossangoa,gbp
Gbaya-Bozoum,gbq
Gbagyi,gbr
Gbesi Gbe,gbs
Gagadu,gbu
Gbanu,gbv
Gabi-Gabi,gbw
Eastern Xwla Gbe,gbx
Gbari,gby
Zoroastrian Dari,gbz
Mali,gcc
Ganggalida,gcd
Galice,gce
Guadeloupean Creole French,gcf
Grenadian Creole English,gcl
Gaina,gcn
Guianese Creole French,gcr
Colonia Tovar German,gct
Gade Lohar,gda
Pottangi Ollar Gadaba,gdb
Gugu Badhun,gdc
Gedaged,gdd
Gude,gde
Guduf-Gava,gdf
Ga'dang,gdg
Gadjerawang,gdh
Gajirrabeng,gdh
Gundi,gdi
Gurdjar,gdj
Gadang,gdk
Dirasha,gdl
Laal,gdm
Umanakaina,gdn
Ghodoberi,gdo
Mehri,gdq
Wipi,gdr
Ghandruk Sign Language,gds
Kungardutyi,gdt
Gudu,gdu
Godwari,gdx
Geruma,gea
Kire,geb
Gboloo Grebo,gec
Gade,ged
Gerai,gef
Gengle,geg
Hutterisch,geh
Hutterite German,geh
Gebe,gei
Gen,gej
Ywom,gek
ut-Ma'in,gel
Geme,geq
Geser-Gorom,ges
Eviya,gev
Gera,gew
Garre,gex
Enya,gey
Geez,gez
Patpatar,gfk
Gafat,gft
Gao,gga
Gbii,ggb
Gugadj,ggd
Gurr-goni,gge
Gurgula,ggg
Kungarakany,ggk
Ganglau,ggl
Gitua,ggt
Gagu,ggu
Gban,ggu
Gogodala,ggw
Ghadamès,gha
Hiberno-Scottish Gaelic,ghc
Southern Ghale,ghe
Northern Ghale,ghh
Geko Karen,ghk
Ghulfan,ghl
Ghanongga,ghn
Ghomara,gho
Ghera,ghr
Guhu-Samane,ghs
Kuke,ght
Kutang Ghale,ght
Kija,gia
Gibanawa,gib
Gail,gic
Gidar,gid
Gaɓogbo,gie
Guébie,gie
Goaria,gig
Githabul,gih
Girirra,gii
Gilbertese,gil
Gimi (Eastern Highlands),gim
Hinukh,gin
Gimi (West New Britain),gip
Green Gelao,giq
Red Gelao,gir
North Giziga,gis
Gitxsan,git
Mulao,giu
White Gelao,giw
Gilima,gix
Giyug,giy
South Giziga,giz
Kachi Koli,gjk
Gunditjmara,gjm
Gonja,gjn
Gurindji Kriol,gjr
Gujari,gju
Guya,gka
Magɨ (Madang Province),gkd
Ndai,gke
Gokana,gkn
Kok-Nar,gko
Guinea Kpelle,gkp
ǂUngkue,gku
Gaelic,gla
Scottish Gaelic,gla
Belning,glb
Bon Gula,glc
Nanai,gld
Irish,gle
Galician,glg
Northwest Pashai,glh
Northwest Pashayi,glh
Gula Iro,glj
Gilaki,glk
Garlali,gll
Galambu,glo
Glaro-Twabo,glr
Gula (Chad),glu
Manx,glv
Glavda,glw
Gule,gly
Gambera,gma
Gula'alaa,gmb
Mághdì,gmd
Magɨyi,gmg
Middle High German (ca. 1050-1500),gmh
Middle Low German,gml
Gbaya-Mbodomo,gmm
Gimnime,gmn
Mirning,gmr
Mirniny,gmr
Gumalu,gmu
Gamo,gmv
Magoma,gmx
Mycenaean Greek,gmy
Mgbolizhia,gmz
Kaansa,gna
Gangte,gnb
Guanche,gnc
Zulgo-Gemzek,gnd
Ganang,gne
Ngangam,gng
Lere,gnh
Gooniyandi,gni
Ngen,gnj
ǁGana,gnk
Gangulu,gnl
Ginuman,gnm
Gumatj,gnn
Northern Gondi,gno
Gana,gnq
Gureng Gureng,gnr
Guntai,gnt
Gnau,gnu
Western Bolivian Guaraní,gnw
Ganzi,gnz
Guro,goa
Playero,gob
Gorakor,goc
Godié,god
Gongduk,goe
Gofa,gof
Gogo,gog
Old High German (ca. 750-1050),goh
Gobasi,goi
Gowlan,goj
Gowli,gok
Gola,gol
Goan Konkani,gom
Gondi,gon
Gone Dau,goo
Yeretuar,gop
Gorap,goq
Gorontalo,gor
Gronings,gos
Gothic,got
Gavar,gou
Gorowa,gow
Gobu,gox
Goundo,goy
Gozarkhani,goz
Gupa-Abawa,gpa
Ghanaian Pidgin English,gpe
Taiap,gpn
Ga'anda,gqa
Guiqiong,gqi
Guana (Brazil),gqn
Gor,gqr
Qau,gqu
Rajput Garasia,gra
Grebo,grb
Ancient Greek (to 1453),grc
Guruntum-Mbaaru,grd
Madi,grg
Gbiri-Niragu,grh
Ghari,gri
Southern Grebo,grj
Kota Marudu Talantang,grm
Guarani,grn
Groma,gro
Gorovu,grq
Taznatit,grr
Gresi,grs
Garo,grt
Kistane,gru
Central Grebo,grv
Gweda,grw
Guriaso,grx
Barclayville Grebo,gry
Guramalum,grz
Ghanaian Sign Language,gse
German Sign Language,gsg
Gusilay,gsl
Guatemalan Sign Language,gsm
Gusan,gsn
Nema,gsn
Southwest Gbaya,gso
Wasembo,gsp
Greek Sign Language,gss
Alemannic,gsw
Alsatian,gsw
Swiss German,gsw
Guató,gta
Aghu-Tharnggala,gtu
Shiki,gua
Guajajára,gub
Wayuu,guc
Yocoboué Dida,gud
Gurindji,gue
Gupapuyngu,guf
Paraguayan Guaraní,gug
Guahibo,guh
Eastern Bolivian Guaraní,gui
Gujarati,guj
Gumuz,guk
Sea Island Creole English,gul
Guambiano,gum
Mbyá Guaraní,gun
Guayabero,guo
Gunwinggu,gup
Aché,guq
Farefare,gur
Guinean Sign Language,gus
Maléku Jaíka,gut
Yanomamö,guu
Gun,guw
Gourmanchéma,gux
Ekegusii,guz
Gusii,guz
Guana (Paraguay),gva
Guanano,gvc
Duwet,gve
Golin,gvf
Guajá,gvj
Gulay,gvl
Gurmana,gvm
Kuku-Yalanji,gvn
Gavião Do Jiparaná,gvo
Pará Gavião,gvp
Gurung,gvr
Gumawana,gvs
Guyani,gvy
Mbato,gwa
Gwa,gwb
Gawri,gwc
Kalami,gwc
Gawwada,gwd
Gweno,gwe
Gowro,gwf
Moo,gwg
Gwichʼin,gwi
ǀGwi,gwj
Awngthim,gwm
Gwandara,gwn
Gwere,gwr
Gawar-Bati,gwt
Guwamu,gwu
Kwini,gww
Gua,gwx
Wè Southern,gxx
Northwest Gbaya,gya
Garus,gyb
Kayardild,gyd
Gyem,gye
Gungabula,gyf
Gbayi,gyg
Gyele,gyi
Gayil,gyl
Ngäbere,gym
Guyanese Creole English,gyn
Gyalsumdo,gyo
Guarayu,gyr
Gunya,gyy
Geji,gyz
Gyaazi,gyz
Ganza,gza
Gazi,gzi
Gane,gzn
Han,haa
Hanoi Sign Language,hab
Gurani,hac
Hatam,had
Eastern Oromo,hae
Haiphong Sign Language,haf
Hanga,hag
Hahon,hah
Haida,hai
Hajong,haj
Hakka Chinese,hak
Halang,hal
Hewa,ham
Hangaza,han
Hakö,hao
Hupla,hap
Ha,haq
Harari,har
Haisla,has
Haitian,hat
Haitian Creole,hat
Hausa,hau
Havu,hav
Hawaiian,haw
Southern Haida,hax
Haya,hay
Hazaragi,haz
Hamba,hba
Huba,hbb
Heiban,hbn
Ancient Hebrew,hbo
Serbo-Croatian,hbs
Habu,hbu
Andaman Creole Hindi,hca
Huichol,hch
Northern Haida,hdn
Honduras Sign Language,hds
Hadiyya,hdy
Northern Qiandong Miao,hea
Hebrew,heb
Herdé,hed
Helong,heg
Hehe,heh
Heiltsuk,hei
Hemba,hem
Herero,her
Haiǁom,hgm
Haigwai,hgw
Hoia Hoia,hhi
Kerak,hhr
Hoyahoya,hhy
Lamang,hia
Hibito,hib
Hidatsa,hid
Fiji Hindi,hif
Kamwe,hig
Pamosu,hih
Hinduri,hii
Hijuk,hij
Seit-Kaitetu,hik
Hiligaynon,hil
Hindi,hin
Tsoa,hio
Himarimã,hir
Hittite,hit
Hiw,hiw
Hixkaryána,hix
Haji,hji
Kahe,hka
Hunde,hke
Khah,hkh
Poguli,hkh
Hunjara-Kaina Ke,hkk
Mel-Khaonh,hkn
Heung Kong Sau Yue,hks
Hong Kong Sign Language,hks
Halia,hla
Halbi,hlb
Halang Doan,hld
Hlersu,hle
Matu Chin,hlt
Hieroglyphic Luwian,hlu
Southern Mashan Hmong,hma
Southern Mashan Miao,hma
Humburi Senni Songhay,hmb
Central Huishui Hmong,hmc
Central Huishui Miao,hmc
A-hmaos,hmd
Da-Hua Miao,hmd
Large Flowery Miao,hmd
Eastern Huishui Hmong,hme
Eastern Huishui Miao,hme
Hmong Don,hmf
Southwestern Guiyang Hmong,hmg
Southwestern Huishui Hmong,hmh
Southwestern Huishui Miao,hmh
Northern Huishui Hmong,hmi
Northern Huishui Miao,hmi
Ge,hmj
Gejia,hmj
Maek,hmk
Luopohe Hmong,hml
Luopohe Miao,hml
Central Mashan Hmong,hmm
Central Mashan Miao,hmm
Hmong,hmn
Mong,hmn
Hiri Motu,hmo
Northern Mashan Hmong,hmp
Northern Mashan Miao,hmp
Eastern Qiandong Miao,hmq
Hmar,hmr
Southern Qiandong Miao,hms
Hamtai,hmt
Hamap,hmu
Hmong Dô,hmv
Western Mashan Hmong,hmw
Western Mashan Miao,hmw
Southern Guiyang Hmong,hmy
Southern Guiyang Miao,hmy
Hmong Shua,hmz
Sinicized Miao,hmz
Mina (Cameroon),hna
Southern Hindko,hnd
Chhattisgarhi,hne
Hungu,hng
ǁAni,hnh
Hani,hni
Hmong Njua,hnj
Mong Leng,hnj
Mong Njua,hnj
Hanunoo,hnn
Northern Hindko,hno
Caribbean Hindustani,hns
Hung,hnu
Hoava,hoa
Mari (Madang Province),hob
Ho,hoc
Holma,hod
Horom,hoe
Hobyót,hoh
Holikachuk,hoi
Hadothi,hoj
Haroti,hoj
Holu,hol
Homa,hom
Holoholo,hoo
Hopi,hop
Horo,hor
Ho Chi Minh City Sign Language,hos
Hote,hot
Malê,hot
Hovongan,hov
Honi,how
Holiya,hoy
Hozo,hoz
Hpon,hpo
Hawai'i Pidgin Sign Language,hps
Hawai'i Sign Language (HSL),hps
Hrangkhol,hra
Niwer Mil,hrc
Hre,hre
Haruku,hrk
Horned Miao,hrm
Haroi,hro
Nhirrpi,hrp
Hértevin,hrt
Hruso,hru
Croatian,hrv
Warwar Feni,hrw
Hunsrik,hrx
Harzani,hrz
Upper Sorbian,hsb
Hungarian Sign Language,hsh
Hausa Sign Language,hsl
Xiang Chinese,hsn
Harsusi,hss
Hoti,hti
Minica Huitoto,hto
Hadza,hts
Hitu,htu
Middle Hittite,htx
Huambisa,hub
ǂ'Amkhoe,huc
ǂHua,huc
Huaulu,hud
San Francisco Del Mar Huave,hue
Humene,huf
Huachipaeri,hug
Huilliche,huh
Huli,hui
Northern Guiyang Hmong,huj
Northern Guiyang Miao,huj
Hulung,huk
Hula,hul
Hungana,hum
Hungarian,hun
Hu,huo
Hupa,hup
Tsat,huq
Halkomelem,hur
Huastec,hus
Humla,hut
Murui Huitoto,huu
San Mateo Del Mar Huave,huv
Hukumina,huw
Nüpode Huitoto,hux
Hulaulá,huy
Hunzib,huz
Haitian Vodoun Culture Language,hvc
San Dionisio Del Mar Huave,hve
Haveke,hvk
Sabu,hvn
Santa María Del Mar Huave,hvv
Wané,hwa
Hawai'i Creole English,hwc
Hawai'i Pidgin,hwc
Hwana,hwo
Hya,hya
Armenian,hye
Western Armenian,hyw
Iaai,iai
Iatmul,ian
Purari,iar
Iban,iba
Ibibio,ibb
Iwaidja,ibd
Akpes,ibe
Ibanag,ibg
Bih,ibh
Ibaloi,ibl
Agoi,ibm
Ibino,ibn
Igbo,ibo
Ibuoro,ibr
Ibu,ibu
Ibani,iby
Ede Ica,ica
Etkywan,ich
Icelandic Sign Language,icl
Islander Creole English,icr
Idakho-Isukha-Tiriki,ida
Luidakho-Luisukha-Lutirichi,ida
Indo-Portuguese,idb
Ajiya,idc
Idon,idc
Ede Idaca,idd
Idere,ide
Idi,idi
Ido,ido
Indri,idr
Idesa,ids
Idaté,idt
Idoma,idu
Amganad Ifugao,ifa
Ayangan Ifugao,ifb
Batad Ifugao,ifb
Ifè,ife
Ifo,iff
Tuwali Ifugao,ifk
Teke-Fuumu,ifm
Mayoyao Ifugao,ifu
Keley-I Kallahan,ify
Ebira,igb
Igede,ige
Igana,igg
Igala,igl
Kanggape,igm
Ignaciano,ign
Isebe,igo
Interglossa,igs
Igwe,igw
Iha Based Pidgin,ihb
Ihievbe,ihi
Iha,ihp
Bidhawal,ihw
Nuosu,iii
Sichuan Yi,iii
Thiin,iin
Izon,ijc
Biseni,ije
Ede Ije,ijj
Kalabari,ijn
Southeast Ijo,ijs
Eastern Canadian Inuktitut,ike
Iko,iki
Ika,ikk
Ikulu,ikl
Olulumo-Ikom,iko
Ikpeshi,ikp
Ikaranggal,ikr
Inuit Sign Language,iks
Inuinnaqtun,ikt
Western Canadian Inuktitut,ikt
Inuktitut,iku
Iku-Gora-Ankwa,ikv
Ikwere,ikw
Ik,ikx
Ikizu,ikz
Ile Ape,ila
Ila,ilb
Interlingue,ile
Occidental,ile
Garig-Ilgar,ilg
Ili Turki,ili
Ilongot,ilk
Iranun (Malaysia),ilm
Iloko,ilo
